,date,open,high,low,close,volume,daily return,cumulative return
121,2021-04-26,310.0,321.6,296.4,298.0,117867711,-0.02741514360313313,5.7727272727272805
122,2021-05-03,297.4,297.8,279.2,282.8,70060261,-0.051006711409395944,5.427272727272735
123,2021-05-10,280.0,280.0,240.0,244.0,219305511,-0.13719943422913727,4.545454545454551
124,2021-05-17,246.4,280.8,244.6,275.2,103012322,0.12786885245901636,5.254545454545461
125,2021-05-24,276.8,290.0,263.0,265.2,92950730,-0.036337209302325535,5.0272727272727336
126,2021-05-31,276.2,321.0,271.6,302.2,173911377,0.1395173453996983,5.868181818181825
127,2021-06-07,302.6,311.8,290.8,307.2,84425117,0.016545334215751106,5.981818181818189
128,2021-06-14,307.0,311.0,283.4,300.6,63395195,-0.02148437499999989,5.831818181818189
129,2021-06-21,296.8,333.0,292.0,330.0,96850440,0.09780439121756479,6.500000000000007
130,2021-06-28,333.0,338.0,300.4,304.0,64665049,-0.07878787878787874,5.909090909090916
131,2021-07-05,300.2,300.8,258.0,279.2,163545018,-0.08157894736842108,5.345454545454552
132,2021-07-12,287.0,302.0,280.8,290.8,97522034,0.04154727793696278,5.609090909090916
133,2021-07-19,284.8,285.0,266.4,273.2,92333166,-0.06052269601100424,5.209090909090914
134,2021-07-26,259.2,265.0,190.4,215.0,514782694,-0.2130307467057101,3.8863636363636402
135,2021-08-02,217.0,223.6,199.8,213.8,120226907,-0.00558139534883717,3.859090909090913
136,2021-08-09,212.0,244.4,209.8,233.4,138235466,0.09167446211412522,4.304545454545458
137,2021-08-16,231.0,234.6,183.2,193.4,168467734,-0.1713796058269066,3.395454545454548
138,2021-08-23,200.0,235.8,190.0,225.0,156326386,0.16339193381592554,4.113636363636367
139,2021-08-30,229.0,267.6,221.4,244.8,243316614,0.08800000000000008,4.563636363636368
140,2021-09-06,239.0,267.8,238.8,259.4,133932956,0.05964052287581678,4.895454545454549
141,2021-09-13,251.2,254.0,228.4,240.8,101491405,-0.07170393215111781,4.472727272727277
142,2021-09-20,237.0,252.0,224.8,244.6,82338671,0.01578073089700993,4.559090909090913
143,2021-09-27,243.2,256.8,238.0,246.6,68877342,0.00817661488143906,4.604545454545458
144,2021-10-04,242.4,258.2,228.2,256.0,94347520,0.03811841038118402,4.818181818181821
145,2021-10-11,270.0,281.0,265.6,280.8,128306655,0.09687500000000004,5.381818181818185
146,2021-10-18,280.0,298.0,269.2,289.2,117352446,0.029914529914529808,5.572727272727276
147,2021-10-25,285.4,294.8,267.6,269.6,81305257,-0.06777316735822947,5.127272727272731
148,2021-11-01,267.0,286.8,263.2,276.8,79587809,0.026706231454005858,5.290909090909095
149,2021-11-08,274.6,292.6,266.8,289.8,74509172,0.04696531791907521,5.58636363636364
150,2021-11-15,291.0,297.6,273.0,280.8,75113219,-0.03105590062111796,5.381818181818186
151,2021-11-22,278.0,281.8,260.2,263.6,89428985,-0.061253561253561184,4.990909090909096
152,2021-11-29,240.4,252.0,230.2,241.2,166378702,-0.08497723823975734,4.481818181818185
153,2021-12-06,236.2,253.4,231.0,243.0,117955311,0.007462686567164312,4.522727272727277
154,2021-12-13,246.2,256.6,225.2,225.8,95041346,-0.07078189300411519,4.131818181818186
155,2021-12-20,224.6,239.8,215.2,226.0,82910417,0.0008857395925596645,4.13636363636364
156,2021-12-27,227.6,232.4,213.4,225.4,53723575,-0.0026548672566371057,4.122727272727277
157,2022-01-03,229.0,232.2,191.8,204.0,124957170,-0.0949423247559894,3.6363636363636394
158,2022-01-10,202.0,231.2,198.3,220.6,109297471,0.08137254901960778,4.013636363636366
159,2022-01-17,219.0,242.4,210.8,238.0,122596685,0.07887579329102445,4.409090909090912
160,2022-01-24,233.2,238.0,200.4,208.0,126102093,-0.12605042016806722,3.7272727272727293
161,2022-01-31,212.4,228.8,212.2,226.8,28310168,0.09038461538461551,4.154545454545457
162,2022-02-07,229.6,235.8,215.2,227.8,73729416,0.0044091710758378255,4.17727272727273
163,2022-02-14,222.8,224.8,182.0,188.0,140043562,-0.17471466198419672,3.272727272727275
164,2022-02-21,178.0,194.1,166.4,170.2,251939709,-0.09468085106382984,2.86818181818182
165,2022-02-28,172.0,181.9,161.2,164.8,155717222,-0.031727379553466384,2.745454545454548
166,2022-03-07,157.0,157.8,126.0,135.4,263776906,-0.17839805825242716,2.0772727272727294
167,2022-03-14,128.0,166.0,103.5,153.3,519874001,0.1322008862629247,2.4840909090909116
168,2022-03-21,157.7,165.0,132.6,135.0,203229374,-0.11937377690802353,2.06818181818182
169,2022-03-28,143.0,165.4,137.0,155.5,171107191,0.1518518518518519,2.5340909090909114
170,2022-04-04,160.1,172.5,152.0,156.5,119597392,0.006430868167202508,2.556818181818184
171,2022-04-11,150.1,159.2,145.2,155.2,107250853,-0.008306709265175738,2.527272727272729
172,2022-04-18,146.5,151.7,130.1,141.4,129211190,-0.08891752577319578,2.2136363636363656
173,2022-04-25,138.3,177.8,135.0,172.0,237939657,0.21640735502121644,2.909090909090912
174,2022-05-02,173.9,178.0,153.0,157.0,139848700,-0.08720930232558144,2.5681818181818206
175,2022-05-09,146.0,168.6,144.0,167.6,181865443,0.06751592356687897,2.8090909090909117
176,2022-05-16,172.3,175.6,159.3,173.0,183709518,0.03221957040572798,2.9318181818181848
177,2022-05-23,172.5,173.7,152.4,163.9,141210201,-0.05260115606936411,2.725000000000003
178,2022-05-30,168.8,187.3,167.9,180.2,153328014,0.099450884685784,3.0954545454545492
179,2022-06-06,192.0,211.6,187.2,201.2,243747183,0.1165371809100999,3.5727272727272767
180,2022-06-13,195.4,202.8,183.0,199.1,197649332,-0.010437375745526833,3.525000000000004
181,2022-06-20,200.0,202.2,185.6,198.1,118366335,-0.0050226017076845375,3.5022727272727314
182,2022-06-27,201.0,210.8,191.9,194.2,132097987,-0.01968702675416456,3.4136363636363676
183,2022-07-04,196.0,205.6,188.1,192.3,91333093,-0.009783728115344892,3.3704545454545496
184,2022-07-11,188.5,188.5,174.5,179.2,111499760,-0.06812272490899651,3.072727272727276
185,2022-07-18,185.0,197.8,183.6,191.7,106147851,0.06975446428571419,3.356818181818185
186,2022-07-25,190.7,192.4,173.3,176.3,87463034,-0.08033385498174217,3.0068181818181854
187,2022-08-01,177.3,187.0,171.9,183.5,91095934,0.04083947816222344,3.1704545454545494
188,2022-08-08,181.1,183.5,167.0,179.1,87214165,-0.023978201634877405,3.070454545454549
189,2022-08-15,179.0,185.0,159.5,169.9,158943725,-0.05136795086543822,2.86136363636364
190,2022-08-22,166.4,183.8,163.1,181.9,116352722,0.07062978222483807,3.1340909090909124
191,2022-08-29,188.0,193.6,174.2,176.2,187584440,-0.03133589884551957,3.0045454545454575
192,2022-09-05,174.0,181.1,167.8,179.9,70609352,0.020998864926220273,3.0886363636363665
193,2022-09-12,181.1,181.6,170.0,171.9,50739151,-0.04446914952751524,2.906818181818185
194,2022-09-19,172.0,176.7,160.3,160.3,73641926,-0.06748109365910404,2.643181818181821
195,2022-09-26,160.0,174.8,159.4,165.6,99328664,0.03306300686213337,2.7636363636363663
196,2022-10-03,164.4,179.4,159.8,172.9,55243131,0.04408212560386482,2.929545454545458
197,2022-10-10,168.0,168.0,142.0,149.0,157470846,-0.1382301908617698,2.3863636363636394
198,2022-10-17,146.0,155.8,133.7,141.6,143100082,-0.04966442953020134,2.218181818181821
199,2022-10-24,135.0,139.2,112.8,121.8,304504577,-0.13983050847457623,1.7681818181818207
200,2022-10-31,122.0,158.8,118.8,149.5,234946842,0.22742200328407236,2.397727272727276
201,2022-11-07,145.0,160.7,138.7,159.6,178913096,0.06755852842809351,2.6272727272727305
202,2022-11-14,167.0,170.3,149.0,160.4,285437757,0.005012531328320913,2.645454545454549
203,2022-11-21,153.0,154.4,133.3,136.6,187455327,-0.14837905236907734,2.1045454545454576
204,2022-11-28,129.0,177.5,128.5,168.0,287262902,0.2298682284040996,2.818181818181822
205,2022-12-05,175.0,188.9,167.0,188.5,226621609,0.12202380952380953,3.2840909090909136
206,2022-12-12,182.0,187.0,170.7,175.9,133320544,-0.06684350132625994,2.997727272727277
207,2022-12-19,180.0,187.0,171.8,183.2,107387957,0.04150085275724824,3.1636363636363676
208,2022-12-26,186.2,189.6,174.7,174.7,77261791,-0.046397379912663794,2.9704545454545492
209,2023-01-02,173.0,195.6,164.7,182.7,160499857,0.04579278763594741,3.152272727272732
210,2023-01-09,185.1,186.5,168.0,171.2,196761841,-0.06294471811713187,2.890909090909095
211,2023-01-16,171.6,172.6,159.0,168.1,173423813,-0.01810747663551404,2.8204545454545493
